artist	artist_id	name	album	release_year	header	lyrics
Nas	9	God Love Us	Nastradamus	1999	[Verse 1]	"He who has ears, let him hear
And he who has sight, let him see
He who has life, let him be
See, everything goes through change
Those who know, don't talk
And those who talk don't know a thing
Men are born soft and turn tough
Dead, they are stiff and hard, I've been kissed by God
I've been hurt, I've been marked for death, almost ripped apart
By the beast, but he missed his mark
Alone in the dark, my thoughts had sparked up
When I saw my body on the floor, from above, I watched it all
Yo, it came to me, the pain in me
Many slain empty skulls where a brain should be
It strangely seemed, like it was a dream
But the si-rens had never woke me
Only reason I'm here now is 'cause God chose me
And to me, I'm only just a crook nigga
But God love us hood niggas"
50 Cent	19	Gangsta Shit	Beg for Mercy	2003	[Chorus]	"They, they talking that
That gangsta shit
They ain't about that
Man, matter of fact
Hand me my strap
Show me where they at, I'll stop 'em from talking like that
They, they talking that
That gangsta shit
They ain't about that
Man, matter of fact
Hand me my strap
Show me where they at, I'll stop 'em from talking like that"
Kendrick Lamar	16	Chapter Six	Section.80	2011	[Chorus]	"Ridin' with them boys and girls and we're high
All we want to do is have a good time
Young, wild, and reckless is how we live life
Pray that we make it to twenty-one (One, one, one, one)
Oh, oh, we make it to twenty-one (One, one, one, one, one, one, one)
Ridin' with them boys and girls and we're high
All we want to do is have a good time
Young, wild, and reckless is how we live life
Pray that we make it to twenty-one (One, one)"
Dr. Dre	1	Compton’s N The House (Remix)	Straight Outta Compton	1988	[Verse 1]	"To the people over there
To the people, the people, the people, people, the people, the people, people
From everywhere watching the show
Paying top dollars because they know
When we're on the stage, we're in a muthafuckin' rage
What up?
Yeah
And show 'em how Eazy-Duz-It
So if you punks wanna make somethin' of it
Step up, run up, get up, what's up, suckers?
Then you're a stupid muthafucka
Kickin' - like the kick from a kickdrum
Yella boy on the drum gettin' dumb
Programmin' - a beat that's hittin'
And if you listen then you know we're not bullshittin'"
Dr. Dre	1	What’s the Difference	2001	1999	[Verse 1]	"Back when Cube was rollin' with Lorenzo in a Benzo
I was bangin' with a gang of instrumentals
Got the pens and pencils, got down to business
But sometimes, the business end of this shit can turn your friends against you
But you was a real nigga, I could sense it in you
I still remember the window of the car that you went through
That's fucked up, but I'll never forget the shit we been through
And I'ma do whatever it takes to convince you
'Cause you my nigga, Doc, and Eazy, I'm still wit' you
Fuck the beef, nigga, I miss you, and that's just being real wit' you
You see, the truth is, everybody wanna know how close me and Snoop is
And who I'm still cool with
Then, I got these fake-ass niggas I first blew with
Claimin' they nonviolent, talkin' like they— (Do not resist the beat)
Spit venom in interviews, speakin' on reunions
Move units, then talk shit, and we can do this
Until then, I ain't even speakin' your name
Just keep my name out of your mouth, and we can keep it the same, nigga
It ain't that I'm too big to listen to the rumors
It's just that I'm too damn big to pay attention to 'em
That's the difference"
Kurupt	4	The Hardest Mutha Fuckaz	Space Boogie: Smoke Oddessey	2001	[Verse 4]	"Yeah, a penny for your thoughts in a hour glass of time
Surround sound beats for the Dogg Pound chiefs
Jump the volts up in each single switch
Stick somethin fat up in each single bitch
Bombshell, and for every dick apiece
That ain't from the hood driftin get 5 shells each
Split bustaz, no bustaz allowed
No punk motha fuckaz allowed, loosen the crowd
Dogg Pound say it loud (Dogg Pound!)
Scream it at the top of your lungs
Tell these niggas where we from
Say Kurupt...Kurupt (Kurupt!)
Yeah nigga the hardest mutha fucka in here
I like Hennessy and beer
Remy, gin and juice, tequila, and grapefruit
Chocolate thai, indigo sticks, and a thick bitch
Down and out, nah I'm up and in
Down at the Dogg House with Dre, Cube, & Ren"
Snoop Dogg	0	Vapors	Tha Doggfather	1996	[Verse 1]	"Can you feel it, nothing can save ya
For this is the season of catching the vapors
And since I got time, what I'm gonna do
Is tell you how it's spreading throughout my crew
Well you all know Nate Dogg, who sings on my records
""Never Leave Me Alone"", ""Ain't No Fun"", now check it
Back in the days before Nate Dogg began
He used to try to holler at this girl named Pam
The type of female with fly Gucci gear
She wore a big turkish rope with a weave in her hair
When they tried to kick it, she'd always fess
Talking about, ""Baby please, you out here serving stress""
Since he wasn't no type of big chronic dealer
The homie Nate Dogg didn't appeal to her
But now he wear boots that match with his suits
And push a Lexus Coupe that's extra cheap
And now she stopped fronting and wants to speak and
Be coming round the Pound every single weekend
To get his beeper number she be begging please
Dying for the day to eat these"
Scarface	11	The Diary	The Diary	1994	[Outro]	"Ayy, ayy, ayy, where you fin to go, fool?
(I can't fuck with it, you got it, man)
Come on, nigga! You wanna rap, nigga?
(I can't do it) Let's rap nigga, come on
You see, you see! That's how motherfucker is, dogg
That's how motherfuckers be, funky ass hoes
You motherfuckers better quit fucking with me like this
That's really doe"
Eminem	15	My Fault	The Slim Shady LP	1999	[Chorus]	"I never meant to give you mushrooms, girl
I never meant to bring you to my world
But now you're sittin' in the corner, crying
And now it's my fault, my fault
I never meant to give you mushrooms, girl
I never meant to bring you to my world
But now you're sittin' in the corner, crying
And now it's my fault, my fault"
Snoop Dogg	0	I Knew That	BUSH	2015	[Chorus]	"I knew that, I knew that
You were lookin' at me
That's when the blood start rushing
I knew that, I knew that
You would leave your spot when you got hot
And you're goin' again
I love when you seein' she's goin' to the bathroom
Got 5 minutes to exchange them buds
No I'm not callin' you, what's your sign
I know your name, it must be under cover"
Travis Scott	33	SIRENS	UTOPIA	2023	[Verse 2]	"Now I got your attention (Look out)
It's wide and beatin' (Look out)
Vow this evenin' (Look out)
You never leavin' (Look-look-look-look-look-look)
Clock out, we sneak in (Look-look-look-look-look)
All the demons
Need a reason
Up from 2 A.M. to two in the afternoon (Look out)
It's a festival right in my room (Look out)
Soon as the sun up, you know that we boom (Look out)
Mariposa, we out to Cancún (Look out)
We gon' hustle more just before we out the room (Look out)
Back outside, it ain't no time for Zooms (Look out)
One point two, that's a whole lot of more vroom (Look out)
Three point two, that's a whole lot of whole lot of (Look out)
It's live, 'member days that I couldn't get by
There outside, it come with it inside
Now your venue, we gotta resize
I can't give all this credit to Colgate
By the way I be rentin' the smile (Look out, look out)
I know sometimes I be in denial (Look out, look out)
I know sometimes I be in the wild (Look out, look out)
How I rock in the, rock in the
Ah"
Big Pun	24	Watch Those	Yeeeah Baby	2000	[Verse 1]	"I'm quick to dumb out, run up in yo' crib with the guns out
Spray your peeps, smack the baby teeth out your son mouth
Who can stop me? I told shorty I'ma shoot you papi
Caught him in the crapper with the clapper;
While he was doin caci
I'll probably die in jail - make it through life and fry in hell
Either way I'ma lead the way, 'cause only time'll tell
I rhyme for real, not that imaginary vocabulary
I really will stab you and every one of my adversaries
There's no remorse - fuck these thug niggas, show me the boss
Gimme a hustle worth the risk of goin' up North
I love my freedom, and you know I love my bein'
So sometimes I gotta get ugh and mug for my per diem
I'll see him in hell, we'll settle it there, better it there
And no innocent bystanders to get hit with a spare
Like I really care who catches strays from the MAC
Like I really care who you paid to rap on your track
Nigga you wack - you ain't bringing nuttin for us
I got songs with the Devil and Jesus singin on the chorus
You can't ignore us, nigga you know how we roll
Sixteen in the clip and one in the hole"
Kendrick Lamar	16	The Art of Peer Pressure	good kid, m.A.A.d city	2012	[Verse 3]	"Braggin' 'bout the episode we just had
A shot of Hennessy didn't make me feel that bad
I'm usually a true firm believer of bad karma
Consequences from evil will make your past haunt ya
We tryna conquer the city with disobedience
Quick to turn it up, even if we ain't got the CD in
But Jeezy still playin'
And our attitude is still ""nigga, what is you sayin'?""
Pull in front of the house
That we been campin' out for like two months
The sun is goin' down as we take whatever we want"
Kanye West	5	Black Skinhead	Yeezus	2013	[Verse 2]	"Stop all that coon shit (Black)
Early morning cartoon shit (Black)
This is that goon shit
Fuck up your whole afternoon shit
I'm aware I'm a wolf
Soon as the moon hit
I'm aware I'm a king
Back out the tomb, bitch (Black)
Black out the room, bitch (Black)
Stop all that coon shit (Black)
These niggas ain't doin' shit (Black)
Them niggas ain't doin' shit
Come on, homie, what happened?
You niggas ain't breathin', you gaspin'
These niggas ain't ready for action
Ready-ready for action-action"
Kendrick Lamar	16	i (Album Version)	To Pimp a Butterfly	2015	[Chorus]	"And I love my (I love myself)
Huh, when you lookin' at me, ah, tell me what do you see?
(I love myself)
Ahh, I put a bullet in the back of the back of the head of the poli'
(I love myself)
Uh, illuminated by the hand of God, boy, don't seem shy
(I love myself)
One day at a time, huh"
Big Boi	26	Liberation	Aquemini	1998	[Verse 2]	"How many times I sit back and contemplate?
I'm fresh off the dank but I'm tellin' my story
My relationship with my folks is give-and-take
And I done took so much, now give me my glory
To have a choice to be who you wants to be
It's left up-a to me and my mama n'em told me (Yes, she did)
I say, to have a choice to be who you wants to be
It's left up-a to me and my mama n'em told me"
Scarface	11	On My Block	The Fix	2002	[Verse 2]	"On my block, we duck the nigga-haters and the cops
Fuck a IROC, we race Impalas, chromed-out
On my block, it ain't no different than the next block
You get drunk and pass out, and they back you to the house
And when you wake up on the couch, you going right back at it
On my block, when you're that fucked up, they laugh at it
On my block, it's just another day in the heart
Of the Southside of Houston Texas, making your mark
On my block, we're cuing all the time, playing dominoes
Keep the Swishers sweet down until my mama goes back inside
Then we can fly, pass it around a few times to get high"
The Game	13	Touchdown	LAX	2008	[Verse 3]	"There she go again talking all that (trash)
Girl stop playing, I tapped that (ass)
We can go real slow or do it (fast)
Just like I thought, you ran out of (gas)
And girl you're like the new S (class)
Every time I look at you, I want to (smash)
Get inside you and (slash)
You drive me crazy girl, I could just (crash)
Jump in your pool and (splash)
Then slow it down like a hour (glass)
Turn around girl, look at that (ass)
Beautiful as a Eli Manning (pass)
Round two, let's roll some (grass)
Get high, think about it and (laugh)
I want to try you on, let me pop your (tags)
You so fly, I want to check your (bags)"
Big Boi	26	13th Floor/Growing Old	ATLiens	1996	[Verse 4]	"Like some eagles, people don't understand
Just like their parents don't be caring
I'm speakin' about you playing with that phony stuff you sharing
In your raps Mercedes Benz and all your riches
Thinking you got it but get it, get it but you ain't pimping no bitches
'Cause you flau-ging; falling like leaves into driveways
Isn't it lovely smoking good and sloppy head on highways
Fridays are tight but Saturday just makes it old
Winter nights are hot warm enough to feed your soul
Growing old"
Big Pun	24	Parental Discretion	Capital Punishment	1998	[Verse 2]	"Aiyo, my shit's the truth, 150 proof, no question
Parental discretion advised, keep out the eyes of the youth
It's too explicit, bullshit! I challenge the statistics
Violence existed before our music was even suggested
Arrested on sight, it's like there's no rights
That's why I rhyme so aggressive and bring every message to life
I Fight the Power, spike the powder — the 90 percent
Keep 10 and feed Twin half for personal reasons
The seasons change, things rearrange, but I stay the same
I played the game for the wealth until I've made myself a name
So blame it all on the gangster rapper
Thanks to Joey Crack for the chance to do it My Way like Frank Sinatra
I ain't an actor, so it's all facts
Strictly raw rap, totally intensive for y'all
Dressed in all black, with the ski mask or the pantyhose
Makin' cameos in liquor store cameras with the twin Calicos"
Kanye West	5	Everything I Am	Graduation	2007	[Outro]	"Here we go-we go
Here we go-we go
Go-go-go again"
Scarface	11	Safe	The Fix	2002	[Verse 3]	"So listen up my niggas, and I ain't tryin to preach
I'm just tellin it from my side 'cause I'm in the streets
I done been there, done that, seen a whole neighborhood
Destroyed by the government bein tipped off by one rat
He caught a dope case and they threatened him with time
He get his own fuckin people jammed and he take the five
That's the shit there; they ain't even catch him with dope
But they gave him thirty-five years 'cause the nigga done spoke
Snitchin, that's a motherfucker, watch what you say
You don't know no-motherfuckin-body, nigga, you lame
Watch your so-called homeboys, keep to yourself
Stay away from niggas gettin caught that get out of jail
Don't talk about your business, keep yo' thoughts in yo' head
And this game it got a paper trail, watch where ya spend
Don't write down names and numbers, it's a memory thing
Never shit where ya sleep, keep the crib out of range
And plus you never let these niggas know where you stay
'Cause when the push turns to a shove, they hittin your safe
True motherfuckin' game, true motherfuckin' game"
50 Cent	19	P.I.M.P. Remix	Get Rich or Die Tryin’	2003	[Chorus]	"I don't know what you heard about me (Yeah!)
But a bitch can't get a dollar outta me (Woo!)
No Cadillac, no perms, you can't see (Uh-huh)
That I'm a motherfuckin' P-I-M-P
I don't know what you heard about me (Uh-huh)
But a bitch can't get a dollar outta me (Yeah!)
No Cadillac, no perms, you can't see
That I'm a motherfuckin' P-I-M-P (Yeah)"
Scarface	11	On My Block	The Fix	2002	[Verse 1]	"Every day, it's been the same old thang on my block
You either working or you slanging cocaine on my block
You had to hustle, 'cause that's how we was raised on my block
And you stayed on your hop until you made you a knot
On my block, to hang out was the thing back then
And even when you left out, you came back in
To my block, from Holloway, Bellfort, to Scott
Reed Road to Phlox, we know the spots
Smoke weed and rocks, drink all the blue dots
On your block, you pro'ly bred a Fat Pat or 2Pac
Or Big Pun, or B-I, your homeboys from knee-high
And even when it was storming outside, that nigga'd be by
That's me, dog, on my block, I ain't have to play the big shot
Niggas knew me back when I was stealing beers from Shamrock
And my nickname was ""Creepy""
If Black June could see me, he'd be tripping
And I'd bet he still try to tease me"
Big L	25	Ebonics (Criminal Slang)	The Big Picture	1998	[Chorus]	"(Speak with criminal slang)
That's just the way that I talk, yo
(Vocabulary spills, I'm ill)
(Speak with criminal slang)
That's just the way that I talk, yo
(Vocabulary spills, I'm ill)"
André 3000	27	SpottieOttieDopaliscious	Aquemini	1998	[Verse 2]	"As the plot thickens, it gives me the dickens, reminiscent of Charles
A lil' discotheque nestled in the ghettos of Niggaville, USA
Via Atlanta, Georgia
A lil' spot where young men and young women go to experience they first little taste of the night life
Me? Well, I've never been there
Well, perhaps, once, but I was so engulfed in the Ol' E', I never made it to the door
You speak of hardcore
While the DJ sweatin' out all the problems and troubles of the day
While this fine, bow-legged girl, fine as all outdoors, lulls lukewarm lullabies in your left ear
Competing with ""Set It Off"" in the right
But it all blends perfectly, if you let the liquor tell it
""Hey, hey—look, baby, they playin' our song!""
And the crowd goes wild, as if Holyfield has just won the fight
But in actuality, it's only about 3 a.m., and three niggas just done got hauled off in the ambulance, sliced up
Two niggas done started busting—""Wham! Wham!""
And one nigga done took his shirt off, talking 'bout, ""Now, who else wanna fuck with Hollywood Court?""
It's just my interpretation of the situation"
50 Cent	19	Beg For Mercy	Beg for Mercy	2003	[Chorus]	"Sticks and stones may break bones and the shells may hurt me
But I take it like a man, you beg for mercy
Keep your eyes wide open, nigga's lookin' for a jux
Shit is real 'round here, you surrounded by crooks
Sticks and stones may break bones and the shells may hurt me
But I take it like a man, you beg for mercy
Keep your eyes wide open, nigga's lookin' for a jux
Shit is real 'round here, you surrounded by crooks"
Dr. Dre	1	A Nigga Witta Gun	The Chronic	1992	[Verse 3]	"I breaks 'em off, but I ain't speaking about between the thighs
I'm talking about cocking a gauge in between your eyes
It'll make you drop to your knees 'cause you realize
That a gat'll make any nigga civilized
Old buster-ass nigga talking bullshit
Don't know that I'm the wrong nigga to fuck with
Get lit or hit up by the doctor
A nigga that breaks 'em off properly
Real G, so don't doubt it
I'm the one who's doin' it while these other niggas talk about it
And if motherfuckers come at me wrong
I straight put my forty-four Desert Eagle to his motherfuckin' dome
And show him why they call me the notorious one
The name is Dre Eastwood when I'm packing a gun
You don't believe me, well step up and give it a try
And if you die, you's a buster, 'cause real niggas don't die
But some still don't hear me, though
You're too near me not to hear me, nigga, yo
So now you know"
Snoop Dogg	0	Don’t Tell	No Limit Top Dogg	1999	[Verse 1]	"You got a job, I got a life, you got a man, I got a wife
Baby girl, baby boy, that's the way of the world
It ain't got back, can't get back
You say it won't get back, shit, I hope it don't get back
I'm creepin' with you, sleepin' with you
It's gettin' bad on a nigga, now I'm beepin' you too
And meet me at the hot spot and work that skirt
You know the blue one, the new one, girl you know the truth hurt
Heart beatin' while I'm cheatin', tryna catch a nut
Bad little bitch got a nigga caught up
I'm slidin' in the rag top Chevorlet
Got a nigga all out of bounds in West L.A
I'm tryin to find your granny's house, is your auntie house
Well um, you know we sorta kinda burn it out
You know I turn it out whenever I'm in the mix
I'm creepin' with my secret (Shhhh) and that's how I wanna keep it, peep this"
The Game	13	Bulletproof Diaries	LAX	2008	[Verse 3]	" What if I was from Staten?
I'd be King Kong knocking down the buildings in Manhattan
 Shootouts, real block shit
West coast assassin on some real 2Pac shit
My style's smoking like after a Glock spit
Game get the blood money, fuck bitches and pop Crys'
-tal like it's New Year's, cause this a new year
Look at the tracks, either Bigfoot or The Game been through here
The Benjamins won't stop, and neither would a chrome Glock
I kill a fire-breathin' dragon wit a dome shot
Come through your hood in a Chevy Malibu, on stocks
We had a meeting before we got here, so shit gon' pop
Heads gon' roll, Patron gon' spill
Fitted caps getting peeled like the chrome on the wheels
Got a half a mil' say your wounds won't heal
I declare war, nigga who gon' deal?"
Lupe Fiasco	23	Hip-Hop Saved My Life	Lupe Fiasco’s The Cool	2008	[Verse 3]	"His man called, said ""Your time might be now
They played your freestyle over 'Wipe Me Down'
They played it two times, said it might be crowned
As the best thing out the H-Town in a while""
He picked up his son with a great big smile
Rapped every single word to the newborn child
Then he put him down and went back to the kitchen
And put on another beat and got back to the mission of
Get his momma out the hood, put her somewhere in the woods
Keep his lady looking good, have her rolling like she should
Show his homies there's a way, other than that flippin' yay
Bail his homie out of jail, put a lawyer on his case
Throw a concert for the school, show the shorties that it's cool
Throw some candy on the Caddy, chuck the deuce and act a fool
Man, it feels good when it happens like that
Two days from going back to selling crack, yessir"
Eric B. & Rakim	14	Casualties of War	Don’t Sweat the Technique	1992	[Verse 2]	"Day divides the night and night divides the day
It's all hard work and no play
More than combat, it's far beyond that
'Cause I got a kill-or-be-killed kind of attack
Area's mapped out, there'll be no, Stratego
Me and my platoon make a boom wherever we go
But what are we here for? Who's on the other side of the wall?
Somebody give the President a call
But I hear warfare scream through the air
Back to the battlegrounds, it's war they declare
A Desert Storm, let's see who reigns supreme
Something like Monopoly - a government scheme
Go to the Army, be all you can be
Another dead soldier? Hell no, not me
So I start lettin' off ammunition in every direction
Allah is my only protection
But wait a minute, Saddam Hussein prays the same
And this is Asia, from where I came
I'm on the wrong side, so change the target
Shootin' at the general, and where's the sergeant?
Blame it on John Hardy Hawkins for bringin' me to America
Now it's mass hysteria
I get a rush when I see blood, dead bodies on the floor
Causalities Of War"
Kendrick Lamar	16	YAH.	DAMN.	2017	[Verse 2]	"Interviews wanna know my thoughts and opinions
Fox News wanna use my name for percentage
My latest muse is my niece, she worth livin'
See me on the TV and scream: ""That's Uncle Kendrick!""
Yeah, that's the business (Uno)
Somebody tell Geraldo this nigga got some ambition
I'm not a politician, I'm not 'bout a religion
I'm a Israelite, don't call me black no mo'
That word is only a color, it ain't facts no mo'
My cousin called, my cousin Carl Duckworth
Said know my worth
And Deuteronomy say that we all been cursed
I know He walks the Earth
But it's money to get, bitches to hit, yah
Zeroes to flip, temptation is, yah
First on my list, I can't resist, yah
Everyone together now, know that we forever—"
Guru	20	Riot Akt	The Ownerz	2003	[Verse 2]	"So realize what it is to be oppressed and afflicted
Subjected to sick shit, knowin others live different
FUCK THAT, the streets about to blow again
They forgot, so we gotta let 'em know again
Huh, we'll blast you for tryin that, we know you been lyin cat
So now you be lyin flat, we'll read you the riot act
Soldiers, let's show these cowards what's up
The hood ain't goin for it, let's get ours, that's what's up
Be sure to keep a balance to your fight
And do the math, figure how to use your talents in a fight
Ain't nuttin worse than a rebel without a cause
Ain't nuttin worse than a people without laws
200 million square miles under attack
Reparations for us blacks, hell yeah, they need to come with that
Who's gonna take the weight, and erase the hate
All I know is when we come through, better make some space"
2Pac	18	The Streetz R Deathrow	Strictly 4 My N.I.G.G.A.Z...	1993	[Outro]	"This go out to my partners in the Live Squad
(like it ain't nothin')
And all my homies out there involved in that 187
Watch your back
There's got to be a better way
There's too many of us in the cemetery
I love it when they fear me!
Come on, what we gonna do now?
I love it when they fear me!
The streets are deathrow *echoes*"
The Game	13	Up On the Wall	The Documentary 2.5	2015	[Interlude 2]	"R.I.P OG TC
Shoutout to my big homie Bone from Athens
Ridin' down Bentral 'bout to bust a right
On Piru street and scoop this nigga Problem up, Blood"
Eminem	15	Little Engine	Music to Be Murdered By	2020	[Verse 2]	"I am the top-selling, who cares? (So what? You sound dumb)
Stop dwelling, then stop yelling (You sound like an idiot)
I’m not yelling, you're yelling (Shut up, Jesus Christ; guys, guys)
Smart-aleck, goddamn it (You sound like an idiot, oh my God)
Fuck is that? Stop hammering, goddamn (Guys, hey, stop arguing)
That's what it sounds like in my brain
Much as I fight to restrain
I have the right to remain violent
Any rhyme that I say can and will be used against you
Icicle veins, mics'll get slain
Like they were strangled with bicycle chains
You’re gonna have to come identify the remains
Wait, what?
I said my head is twisted like a bread tie (Yup)
Can't get a fuckin' word in edgewise (Shut up)
Success overnight like a red-eye (Bitch)
Dressed like a Jedi at a Best Buy on the Westside
I'm hot, dawg
No, you're not, I'm the guy with the Oscar at Meijers
In appliances by the washers and dryers
Chick ran up like, ""Marshall on fire""
I looked down and said, ""No, I'm not, you're a liar""
She said, ""No, your music
Heard you're back with the Doctor,"" then I heard"
2Pac	18	If My Homie Calls	2Pacalypse Now	1991	[Verse 3]	"Well, it's '91 and I'm living kinda swell now
But I hear that you're going through some hell, pal
But life making records ain't easy
It ain't what I expected, it's hectic, it's sleazy
But I guess that the streets is harder
Trying to survive in the life of a young godfather
My homie is making it elsewhere
Striving, working nine-to-five with no health care
We both had dreams of being great
But his deferred and blurred and changed in shape
It's fate, it wasn't my choice to make
To be great, I'm giving it all it takes
Trying to shake the crates and fakes and snakes
I gotta take my place or fall from grace
The bullet's late, the pace is quick and great
Smiling face to hide the trace of hate
But my homie would never do me wrong
That's why I wrote this song, if you ever need me, it's on
No matter who the foe, they must fall
Us against 'em all, I'm down to brawl if my homies call"
Lupe Fiasco	23	He Say She Say	Lupe Fiasco’s Food & Liquor	2006	[Verse 2]	"Uh, so he said to him
""I want you to be a father, I'm your little boy (Uh)
And you don't even bother, like
‘Brother' without the ‘R’, and I'm startin' to harbor
Cool on food for thought, but for you, I'm a starver
Startin' to use red markers on my work
My teacher say they know I'm much smarter, but I'm hurt
I used to hand my homework in first
Like I was the classroom starter,"" burst to tears
Let him know he's serious
""Now I'm fightin' in class, got a note last week
That say I might not pass, kids ask me if my daddy
Is sick of us, 'cause you ain't never pick me up
You see what my problem is?
That I don't know where my poppa is
No positive male role model
To play football and build railroad models
It's makin' a hole; you've been diggin' it
'Cause you ain't been kickin' it since I was old enough to hold bottles
Wasn't supposed to get introduced to that (To that)
I don't deserve to get used to that
Now I ain't askin' you for money or to come back to me
Some days it ain't sunny, but it ain't so hard
Just breaks my heart when my momma try to provide
And I tell her, 'That ain't your job'
To be a man, she try to make me understand
That she my number-one fan
But it's like you booin' from the stands, you know the world is out to get me
Why don't you gimme a chance?"" It's like"
Scarface	11	We Can’t Be Stopped	We Can’t Be Stopped	1991	[Verse 2]	"Bitches get raped, niggas get murdered
Adults fuckin' kids in numbers unheard of
It's on the news every hour
Why can't I talk about it?You said the album wasn't coming out fighter
But when it did you couldn't find your typewriter
Keep lettin' the government dictate what you hear
Next they'll put stickers on your ears"
